Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,1,male,0.654,2.26,2.17,0.036,0.201,0.026
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,2,female,0.699,2.254,2.429,0.025,0.041,0.088
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,2,male,0.781,2.183,2.615,0.004,0.019,0.15
D.aldrichi,Binjour,-25.52,151.45,1994,1994,30,10,3,male,0.729,2.114,2.638,0.002,0.032,0.093
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,1,female,1.106,2.292,2.898,0.014,0.014,0.071
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,1,male,1.026,2.214,2.546,0.002,0.051,0.14
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,2,female,1.082,2.175,2.49,0.017,0.048,0.022
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,2,male,0.983,2.239,2.529,0.006,0.014,0.02
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,1,3,female,1.131,2.223,2.833,0.016,0.03,0.075
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,1,female,1.101,2.196,2.504,0.041,0.071,0.006
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,1,male,1.042,2.193,2.444,0.004,0.07,0.025
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,2,female,1.066,2.283,2.508,0.02,0.075,0.028
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,2,male,1.006,2.121,2.435,0.033,0.026,0.096
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,3,female,1.076,2.168,2.63,0.052,0.029,0.073
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,2,3,male,0.951,2.229,2.47,0.039,0.101,0.104
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,1,female,1.093,,2.576,,,0.102
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,1,male,0.996,2.242,2.444,0.026,0.053,0.106
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,2,female,1.14,2.249,2.287,0.007,0.014,0.015
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,2,male,1.057,2.16,2.566,0.006,0.061,0.23
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,3,female,1.119,2.176,2.685,0.002,0.078,0.02
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,3,3,male,1.077,2.216,2.531,0.034,0.082,0.065
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,1,female,1.182,2.29,2.553,0.025,0.005,0.012
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,1,male,1.081,2.135,2.576,0.022,0.013,0.048
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,2,female,1.15,2.281,2.639,0.004,0.028,0.023
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,2,male,1.05,2.205,2.526,0.021,0,0.099
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,3,female,1.091,2.181,2.336,0.029,0.006,0.011
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,4,3,male,0.972,2.192,2.733,0.013,0.007,0.056
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,1,female,1.096,2.206,2.577,0.008,0.002,0.148
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,1,male,1.016,2.154,2.799,0.009,0.048,0.099
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,2,female,1.08,2.191,2.609,0.013,0.036,0.008
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,2,male,1.041,2.308,2.524,0.036,0.05,0.099
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,3,female,1.126,2.225,2.642,0.028,0.006,0.051
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,5,3,male,0.962,2.174,2.525,0.042,0.003,0.114
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,1,female,1.061,2.24,2.625,0.037,0.054,0.036
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,1,male,1.04,2.217,2.667,0.033,0.103,0.035
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,2,female,1.133,2.285,2.831,0.006,0.044,0.108
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,2,male,0.975,2.208,2.678,0.035,0.09,0.052
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,3,female,1.108,2.218,2.556,0.035,0.031,0.004
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,6,3,male,0.952,2.204,2.43,0.027,0.047,0.063
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,1,female,1.165,2.282,2.407,0.003,0.029,0.098
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,1,male,0.927,2.178,2.628,0.02,0.034,0.04
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,2,female,1.152,2.238,2.678,0.047,0.077,0.08
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,2,male,1.073,2.146,2.569,0.058,0.039,0.045
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,3,female,1.065,2.18,2.756,0.026,0.023,0.027
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,3,male,1.041,2.16,2.568,0.03,0.03,0.073
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,1,female,1.07,2.253,2.657,0.024,0.028,0.047
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,1,male,1.047,2.18,2.461,0.008,0.028,0.11
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,2,female,1.131,2.186,2.527,0.008,0.018,0.077
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,2,male,0.969,2.144,2.369,0.015,0.039,0.017
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,3,female,1.172,2.159,2.612,0.008,0.039,0.045
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,3,male,1.011,2.206,2.709,0.018,0.027,0.051
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,1,female,1.064,2.279,2.623,0.033,0.056,0.074
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,1,male,0.841,2.252,2.317,0.041,0.047,0.082
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,2,female,1.214,2.192,2.524,0.018,0.061,0.108
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,2,male,0.968,2.134,2.582,0,0.004,0.166
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,3,female,1.097,2.207,2.963,0.007,0.056,0.107
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,3,male,1.03,2.186,2.641,0.058,0.048,0.169
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,1,female,1.198,,2.527,,,0.147
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,1,male,1.057,2.163,2.79,0.005,0.023,0.027
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,2,female,1.158,2.195,2.294,0.023,0.073,0.097
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,2,male,1.057,2.171,2.477,0.035,0.011,0.008
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,3,male,1.003,2.176,2.623,0.038,0.018,0.048
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,1,female,0.968,2.183,2.791,0.006,0.014,0.112
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,1,male,0.858,2.174,2.476,0.005,0.023,0.217
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,2,female,1.002,2.269,2.691,0.016,0.023,0.017
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,2,male,0.851,2.112,2.435,0.008,0.022,0.012
D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,3,female,0.986,2.311,2.622,0.021,0.111,0.08
